CODIGO EUROPEO,NOMBRE,CATEGORÍA,DIRECCIÓN,ENTIDAD MATRIZ,CODIGO DE SUPERVISOR
ES8836,"Telefonica Consumer Finance, EFC, S.A.",Otra institución,"AVDA MANOTERAS, 20, 28050, MADRID",,8836
ES1573,"The Bank of New York Mellon SA/SV, S.E",Entidad de crédito,"Cl JOSÉ ABASCAL, 45, 28003, Madrid",BE0806743159,1573
ES1570,"The Governor and Company of the Bank of Ireland, Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 42, 28046, MADRID",IEBKIREL,1570
ES1487,"Toyota Kreditbank GmbH, Sucursal en España",Entidad de crédito,"AV DE BRUSELAS, 22, 28108, ALCOBENDAS",DE04046,1487
ES4784,"Transolver Finance, E.F.C., S.A.",Otra institución,"Av Aragón, 402, 28022, Madrid",,4784
ES6721,"TREEZOR S.A.S., SUCURSAL EN ESPAÑA",Otra institución,"PZA PABLO RUIZ PICASSO, 1, 28020, MADRID",FR16798,6721
ES1491,"Triodos Bank, N.V., S.E.",Entidad de crédito,"CL JOSÉ ECHEGARAY, 5, 28230, LAS ROZAS DE MADRID",NL195,1491
ES1460,"UBS AG, SUCURSAL EN ESPAÑA",Entidad de crédito,"CL AYALA, 42, 28001, MADRID",CH0ECBM00020,1460
ES0226,"UBS Europe SE, Sucursal en España",Entidad de crédito,"CL MARÍA DE MOLINA, 4, 28006, MADRID",DE04024,226
ES2103,"Unicaja Banco, S.A.",Entidad de crédito,"Av Andalucía, 10-12, 29007, Málaga",,2103
ES1557,"Unicredit, S.p.A., Sucursal en España",Entidad de crédito,"Cl Miguel Angel. 11, 28010, Madrid",IT0000102484824,1557
ES8596,"Unión Cto. Fin. Mob. e Inm., Credifimo, E.F.C., S.A.",Otra institución,"Cl Goya, 77, 28001, Madrid",,8596
ES8512,"Unión de Créditos Inmobiliarios, S.A., E.F.C.",Otra institución,"CL AMALTEA, 32, 28045, MADRID",,8512
ES8769,"Unión Financiera Asturiana, S.A., E.F.C.",Otra institución,"CL PELAYO, 15, 33003, OVIEDO",,8769
ES6719,"Unnax Regulatory Services, EDE, SL",Otra institución,"PZ DE EUROPA, 22-24, 08902, L' Hospitalet de Llobregat",,6719
ES6709,"Up Aganea EDE, SA",Otra institución,"AV. EUROPA, 16, 28108, ALCOBENDAS",,6709
ES8806,"VFS Financial Services Spain E.F.C., S.A.",Otra institución,"CL GOBELAS, 41 Y 45, 28023, MADRID",,8806
ES1480,"Volkswagen Bank GmbH, Sucursal en España",Entidad de crédito,"AV. DE BRUSELAS, 34, 28108, ALCOBENDAS",DE03402,1480
ES1575,"Western Union International Bank GMBH, Sucursal en España",Entidad de crédito,"CL PRINCESA, 5, 28008, MADRID",AT0000067035186,1575
ES0229,"Wizink Bank, S.A.",Entidad de crédito,"Cl Ulises, 16-18, 28043, Madrid",,229
ES8840,"Xfera Consumer Finance, E.F.C. S.A.",Otra institución,"PS DE LOS MELANCOLICOS, 14, 28005, MADRID",,8840
ES1560,"Younited, Sucursal en España",Entidad de crédito,"Carrer de la Caravel, 12, 08017, Barcelona",FR16488,1560
